,amd,arm,nvda,spx,spy,tsm,txn,Price
2058,-1.1700000000000017,-6.5800000000000125,-0.16799999999999926,-7.269999999999527,-2.6999999999999886,-2.6400000000000006,0.5599999999999739,80.41
2059,0.7900000000000063,-6.5800000000000125,-0.10400000000000098,-6.819999999999709,4.9599999999999795,0.6200000000000045,1.5700000000000216,79.24
2060,4.0,-6.5800000000000125,0.6980000000000004,-71.23000000000047,7.350000000000023,1.8199999999999932,4.189999999999998,80.03
2061,0.8599999999999994,-6.5800000000000125,0.21199999999999974,-61.98999999999978,6.039999999999964,1.1400000000000006,1.8199999999999932,84.03
2062,-3.9350000000000023,-6.5800000000000125,-0.5670000000000002,-6.539999999999964,-6.949999999999989,-1.5499999999999972,-5.170999999999992,84.89
2063,-3.855000000000004,-6.5800000000000125,-0.548,26.710000000000036,-7.359999999999957,-0.6800000000000068,-1.849000000000018,80.955
2064,-0.45999999999999375,-6.5800000000000125,-0.23879999999999946,45.47999999999956,-1.5100000000000477,-1.1599999999999966,-0.009999999999990905,77.1
2065,-1.019999999999996,-6.5800000000000125,-0.27369999999999983,-164.15999999999985,-8.819999999999993,-1.4699999999999989,-1.2299999999999898,76.64
2066,-0.23000000000000398,-6.5800000000000125,0.2705000000000002,6.670000000000073,-1.8799999999999955,-0.5600000000000023,0.5900000000000034,75.62
2067,0.6899999999999977,-6.5800000000000125,0.2024999999999988,-40.57999999999993,2.8000000000000114,0.9900000000000091,1.829999999999984,75.39
2068,-0.644999999999996,-6.5800000000000125,-0.0015000000000000568,-63.940000000000055,1.0500000000000114,0.03999999999999204,1.1200000000000045,76.08
2069,-1.5450000000000017,-6.5800000000000125,-0.1429999999999989,57.929999999999836,-9.53000000000003,-1.1299999999999955,-3.9399999999999977,75.435
2070,-5.890000000000001,-6.5800000000000125,-0.6500000000000004,-63.76999999999998,-6.0,-2.1500000000000057,-1.3700000000000045,73.89
2071,-0.12999999999999545,-6.5800000000000125,0.07099999999999973,-21.460000000000036,-4.169999999999959,-0.8299999999999983,0.4300000000000068,68.0
2072,0.030000000000001137,-6.5800000000000125,0.016000000000000014,50.51000000000022,1.6099999999999568,0.04000000000000625,0.5799999999999841,67.87
2073,-0.7900000000000063,-6.5800000000000125,-0.09699999999999953,63.0,-3.6399999999999864,-2.4000000000000057,-0.7099999999999795,67.9
2074,0.04000000000000625,-6.5800000000000125,0.038000000000000256,60.73000000000002,2.430000000000007,-0.5900000000000034,-0.700000000000017,67.11
2075,-3.5350000000000037,-6.5800000000000125,-0.36100000000000065,-46.55000000000018,-5.009999999999991,-2.7099999999999937,-3.5999999999999943,67.15
2076,0.8449999999999918,-6.5800000000000125,0.2599999999999998,-96.38999999999987,-0.7200000000000273,0.269999999999996,0.18999999999999773,63.615
2077,3.8100000000000023,-6.5800000000000125,0.532,-8.320000000000164,11.319999999999993,2.719999999999999,5.640000000000015,64.46
2078,-1.6799999999999926,-6.5800000000000125,0.03170000000000073,-51.460000000000036,0.9900000000000091,2.1200000000000045,1.2699999999999818,68.27
2079,1.2299999999999898,-6.5800000000000125,0.30930000000000035,-31.039999999999964,2.230000000000018,1.0499999999999972,3.460000000000008,66.59
2080,-3.809999999999988,-6.5800000000000125,-0.7149999999999999,25.320000000000164,-6.649999999999977,-2.1599999999999966,-3.759999999999991,67.82
2081,-6.700000000000003,-6.5800000000000125,-0.46799999999999997,-3.8299999999999272,-5.010000000000048,-1.960000000000008,-4.469999999999999,64.01
2082,-0.10000000000000142,-6.5800000000000125,-0.47600000000000087,-89.03999999999996,-5.724999999999966,-5.6499999999999915,-4.939999999999998,57.31
2083,0.240000000000002,-6.5800000000000125,0.018000000000000682,-55.220000000000255,-0.06499999999999773,-0.6000000000000014,-1.25,57.21
2084,-1.9299999999999997,-6.5800000000000125,-0.6080000000000005,-44.42000000000007,-8.965000000000032,-0.5399999999999991,-5.75,57.45
2085,4.079999999999998,-6.5800000000000125,1.0860000000000003,3.7200000000002547,19.345000000000027,4.200000000000003,8.289999999999992,55.52
2086,-2.25,-6.5800000000000125,-0.5389999999999997,-34.5,-4.5400000000000205,-2.280000000000001,-3.9000000000000057,59.6
2087,2.559999999999995,-6.5800000000000125,0.8259999999999987,35.070000000000164,11.120000000000005,0.9200000000000017,3.0900000000000034,57.35
2088,-2.5849999999999937,-6.5800000000000125,-0.46499999999999986,-53.5300000000002,-6.139999999999986,-3.1600000000000037,-4.460000000000008,59.91
2089,0.14499999999999602,-6.5800000000000125,0.23399999999999999,-23.699999999999818,-0.9600000000000364,1.009999999999998,3.259999999999991,57.325
2090,-0.25499999999999545,-6.5800000000000125,-0.014799999999999258,116.67999999999984,-2.909999999999968,-1.7299999999999969,1.5200000000000102,57.47
2091,1.3549999999999969,-6.5800000000000125,0.40979999999999883,26.789999999999964,10.769999999999982,-1.4400000000000048,4.800000000000011,57.215
2092,0.19500000000000028,-6.5800000000000125,0.1855000000000011,18.7199999999998,2.900000000000034,-0.6199999999999974,1.4000000000000057,58.57
2093,0.9249999999999972,-6.5800000000000125,0.17549999999999955,-65.23000000000002,2.829999999999984,0.8999999999999986,-9.045000000000016,58.765
2094,1.9100000000000037,-6.5800000000000125,0.761000000000001,-59.22999999999956,1.4499999999999886,0.990000000000002,7.235000000000014,59.69
2095,-2.5,-6.5800000000000125,-0.5260000000000016,-51.65000000000009,-3.1999999999999886,-1.0799999999999983,-3.920000000000016,61.6
2096,1.6499999999999986,-6.5800000000000125,0.6740000000000013,-5.0300000000002,6.569999999999993,0.8200000000000003,4.52000000000001,59.1
2097,0.7349999999999994,-6.5800000000000125,0.032999999999999474,-70.46000000000004,3.6999999999999886,1.6699999999999946,1.8400000000000034,60.75
2098,1.5150000000000006,-6.5800000000000125,0.0389999999999997,170.03999999999996,-6.240000000000009,-0.759999999999998,1.0199999999999818,61.485
2099,-4.890000000000001,-6.5800000000000125,-0.8070000000000004,-51.75999999999976,-12.435000000000002,-2.5,-6.8799999999999955,63.0
2100,4.390000000000001,-6.5800000000000125,0.9430000000000014,107.61000000000013,5.535000000000025,1.509999999999998,5.228000000000009,58.11
2101,0.4299999999999997,-6.5800000000000125,0.2419999999999991,-43.15000000000009,0.7099999999999795,1.1099999999999994,2.201999999999998,62.5
2102,1.1600000000000037,-6.5800000000000125,0.5730000000000004,-14.059999999999945,3.400000000000034,1.750000000000007,3.6299999999999955,62.93
