Date,Close/Last,Volume,Open,High,Low
09/14/2023,63.59,130534500,56.10,66.28,55.54
09/15/2023,60.75,74753090,68.63,69.00,60.75
09/18/2023,58.00,34571900,57.95,58.7407,55.02
09/19/2023,55.17,18308640,56.25,56.78,53.88
09/20/2023,52.91,16369470,55.17,55.40,51.52
09/21/2023,52.16,15010920,51.78,52.80,49.85
09/22/2023,51.32,8430168,52.90,52.90,50.3548
09/25/2023,54.44,12896540,51.12,54.50,50.02
09/26/2023,53.52,6283544,53.93,54.53,52.70
09/27/2023,52.99,6866740,54.40,54.4099,51.7894
09/28/2023,55.49,8765755,53.50,56.50,52.86
09/29/2023,53.52,7810025,56.21,56.79,53.08
10/02/2023,52.26,8857088,53.475,54.1899,51.91
10/03/2023,51.57,4687735,51.96,52.235,50.80
10/04/2023,53.46,6206459,51.97,53.81,51.31
10/05/2023,52.51,2984420,53.90,53.90,52.09
10/06/2023,54.08,4009236,52.72,54.21,51.55
10/09/2023,54.25,7197706,54.40,55.80,53.37
10/10/2023,55.71,5138144,55.24,55.86,54.20
10/11/2023,54.68,4454722,56.17,56.33,54.38
10/12/2023,51.85,7323145,54.75,54.75,51.41
10/13/2023,50.78,6462484,52.50,52.56,50.00
10/16/2023,52.09,3316789,51.04,52.35,51.04
10/17/2023,52.29,2549709,51.00,52.76,50.65
10/18/2023,51.90,2268871,52.28,52.70,51.275
10/19/2023,49.74,4553360,52.00,52.70,49.53
10/20/2023,47.87,8089129,49.74,49.74,46.50
10/23/2023,50.21,9979286,47.22,51.88,46.50
10/24/2023,52.37,7211721,52.00,52.8917,51.05
10/25/2023,49.44,4518810,52.70,52.79,49.31
10/26/2023,50.17,3555300,50.06,51.11,49.50
10/27/2023,49.09,2611336,51.26,51.33,48.81
10/30/2023,47.90,3677661,49.51,49.90,47.28
10/31/2023,49.29,3248684,47.90,49.66,47.12
11/01/2023,50.52,3066410,49.61,50.52,48.30
11/02/2023,52.82,4752687,51.40,53.56,51.30
11/03/2023,53.49,2545035,52.82,53.86,52.25
11/06/2023,53.10,2328270,53.98,54.46,52.52
11/07/2023,55.27,4534176,53.45,56.10,53.26
11/08/2023,54.40,6128231,55.27,55.56,53.39
11/09/2023,51.58,15354470,51.00,52.05,49.82
11/10/2023,52.27,5803942,52.00,52.50,51.01
